Date,Location,Confirmed Case
16.04.2020,Purana Paltan,2
16.04.2020,Rajarbagh,8
16.04.2020,Rampura,3
16.04.2020,Ramna,1
16.04.2020,Rayerbagh,1
16.04.2020,Rayerbazar,1
16.04.2020,Sabujbagh,2
16.04.2020,Sayedabad,1
16.04.2020,Science Lab,1
16.04.2020,Shah Ali Bagh,2
16.04.2020,Shahbag,4
16.04.2020,Shakharibazar,6
16.04.2020,Shantibagh,1
16.04.2020,Shampur,1
16.04.2020,Shantinagar,7
16.04.2020,Shaymoli,3
16.04.2020,Shewrapara,1
16.04.2020,Shekher Tek,1
16.04.2020,Showari Ghat,3
16.04.2020,Siddheshwari,3
16.04.2020,Sonir akhra,1
16.04.2020,Sutrapur,7
16.04.2020,Tejgaon,16
16.04.2020,Tezturi Bazar,1
16.04.2020,Tolarbag,19
16.04.2020,Urdu Road,1
16.04.2020,Uttara,20
16.04.2020,Vatara,1
16.04.2020,Wari,27
17.04.2020,Adabor,5
17.04.2020,Agargaon,2
17.04.2020,Armanitola,1
17.04.2020,Ashkona,1
17.04.2020,Azimpur,11
17.04.2020,Babu Bazar,11
17.04.2020,Badda,8
17.04.2020,Baily Road,3
17.04.2020,Banani,8
17.04.2020,Bangshal,15
17.04.2020,Banianagar,1
17.04.2020,Basabo,17
17.04.2020,Bashundhora,5
17.04.2020,Begunbari,1
17.04.2020,Begum Bazar,1
17.04.2020,Beribadh,1
17.04.2020,Bokshi Bazar,1
17.04.2020,Bosila,1
17.04.2020,Buet Area,1
17.04.2020,Cantonment,1
17.04.2020,Central Road,1
17.04.2020,Chankharpool,6
17.04.2020,Chawk Bazar,10
17.04.2020,Dhakkeshori,1
17.04.2020,Demra,2
17.04.2020,Dhanmondi,18
17.04.2020,Dholaikhal,1
17.04.2020,Doyaganj,1
17.04.2020,Eskaton,6
17.04.2020,Faridabagh,1
17.04.2020,Farmgate,1
17.04.2020,Gendaria,14
17.04.2020,Goran,1
17.04.2020,Gopibag,3
17.04.2020,Green Road,10
17.04.2020,Gulistan,3
17.04.2020,Gulshan,13
17.04.2020,Hatir jhil,1
17.04.2020,Hatirpool,3
17.04.2020,Hazaribagh,15
17.04.2020,Islampur,2
17.04.2020,Jailgate,2
17.04.2020,Jatrabari,23
17.04.2020,Jigatala,5
17.04.2020,Jurain,3
17.04.2020,Kallyanpur,1
17.04.2020,Kamrangir Char,4
17.04.2020,Kazi para,3
17.04.2020,Kawran Bazar,1
17.04.2020,Kochukhet,1
17.04.2020,Khilgaon,1
17.04.2020,Khilkhet,1
17.04.2020,Koltabazar,1
17.04.2020,Kodomtoli,2
17.04.2020,Kotowali,4
17.04.2020,Kuril,1
17.04.2020,Lalbagh,21
17.04.2020,Laxmibazar,4
17.04.2020,Malitola,1
17.04.2020,Malibagh,4
17.04.2020,Manikdi,1
17.04.2020,Matuail,1
17.04.2020,Mirhajaribagh,2
17.04.2020,Mirpur-1,8
17.04.2020,Mirpur-6,3
17.04.2020,Mirpur-10,7
17.04.2020,Mirpur-11,13
17.04.2020,Mirpur-12,11
17.04.2020,Mirpur-13,2
17.04.2020,Mirpur-14,6
17.04.2020,Mitford,17
17.04.2020,Mogbazar,11
17.04.2020,Mohakhali,12
17.04.2020,Mohonpur,1
17.04.2020,Mohammadpur,26
17.04.2020,Motijeel,1
17.04.2020,Mugda,3
17.04.2020,Nawabpur,1
17.04.2020,Nawabganj,2
17.04.2020,Narinda,3
17.04.2020,Nakhalpara,5
17.04.2020,Nikunja,1
17.04.2020,Pirerbagh,2
17.04.2020,Purana Paltan,2
17.04.2020,Rajarbagh,13
17.04.2020,Rampura,4
17.04.2020,Ramna,5
17.04.2020,Rayerbagh,1
17.04.2020,Rayerbazar,1
17.04.2020,Sabujbagh,2
17.04.2020,Sadarghat,1
17.04.2020,Sayedabad,1
17.04.2020,Science Lab,1
17.04.2020,Shah Ali Bagh,2
17.04.2020,Shahbag,6
17.04.2020,Shakharibazar,7
17.04.2020,Shantibagh,1
17.04.2020,Shampur,1
17.04.2020,Shantinagar,7
17.04.2020,Shaymoli,4
17.04.2020,Shewrapara,1
17.04.2020,Shekher Tek,1
17.04.2020,Showari Ghat,3
17.04.2020,Siddheshwari,3
17.04.2020,Sonir akhra,1
17.04.2020,Sutrapur,9
17.04.2020,Tejgaon,16
17.04.2020,Tezturi Bazar,1
17.04.2020,Tolarbag,19
17.04.2020,Urdu Road,1
17.04.2020,Uttara,20
17.04.2020,Vatara,1
